date,opening_price,closing_price,min_price,max_price,average_price,units_traded,volume_1day,volume_7day,buy_price,sell_price,requestTime
1520528114839,840000,818000,815000,865000,839960.8720,43871.5751014047894321,43871.5751014047894321,237599.511443329703917407,817000,818000,1520528113
1520528121058,841000,820000,815000,865000,839955.6904,43869.2120014047894321,43869.2120014047894321,237599.511443329703917407,817000,820000,1520528120
1520528126944,843000,817000,815000,865000,839950.7804,43860.8496014047894321,43860.8496014047894321,237599.511443329703917407,816000,820000,1520528126
1520528133038,843000,816000,815000,865000,839934.6551,43899.7171014047894321,43899.7171014047894321,237599.511443329703917407,816000,819000,1520528132
1520528138985,842000,815000,815000,865000,839914.9725,43929.0430014047894321,43929.0430014047894321,237599.511443329703917407,816000,818000,1520528138
1520528145288,840000,818000,813000,865000,839888.8535,43948.5240014047894321,43948.5240014047894321,237599.511443329703917407,816000,818000,1520528144
1520528151192,840000,816000,813000,865000,839885.1623,43932.0999014047894321,43932.0999014047894321,237599.511443329703917407,816000,818000,1520528150
1520528157526,840000,816000,813000,865000,839884.0378,43927.8520014047894321,43927.8520014047894321,237599.511443329703917407,816000,818000,1520528156
1520528163994,840000,816000,813000,865000,839884.0378,43927.8520014047894321,43927.8520014047894321,237599.511443329703917407,816000,818000,1520528162
1520528169994,840000,818000,811000,865000,839860.8457,43989.3567014047894321,43989.3567014047894321,237599.511443329703917407,815000,818000,1520528169
1520528176047,840000,815000,811000,865000,839858.9350,43984.8199014047894321,43984.8199014047894321,237599.511443329703917407,814000,817000,1520528175
1520528182030,840000,817000,811000,865000,839853.0232,43989.8125014047894321,43989.8125014047894321,237599.511443329703917407,814000,816000,1520528181
1520528187960,836000,816000,811000,865000,839846.2059,44001.2505014047894321,44001.2505014047894321,237599.511443329703917407,816000,817000,1520528187
1520528194015,840000,817000,811000,865000,839843.5894,44010.6695014047894321,44010.6695014047894321,237599.511443329703917407,816000,817000,1520528193
1520528200095,840000,817000,811000,865000,839839.6129,44013.5845014047894321,44013.5845014047894321,237599.511443329703917407,813000,817000,1520528199
1520528206017,843000,818000,811000,865000,839832.0456,43985.4194014047894321,43985.4194014047894321,237599.511443329703917407,818000,820000,1520528205
1520528211981,844000,814000,811000,865000,839823.1664,43987.6139014047894321,43987.6139014047894321,237599.511443329703917407,814000,816000,1520528211
1520528217885,844000,812000,811000,865000,839811.2885,43999.7655014047894321,43999.7655014047894321,237599.511443329703917407,813000,818000,1520528217
1520528223792,841000,817000,811000,865000,839808.1837,44002.3288014047894321,44002.3288014047894321,237599.511443329703917407,814000,819000,1520528223
1520528229776,840000,815000,811000,865000,839806.0343,44003.1963014047894321,44003.1963014047894321,237599.511443329703917407,815000,818000,1520528228
1520528235933,843000,815000,811000,865000,839804.7771,44002.4144014047894321,44002.4144014047894321,237599.511443329703917407,815000,818000,1520528234
1520528241824,840000,818000,811000,865000,839802.6515,44000.7167014047894321,44000.7167014047894321,237599.511443329703917407,814000,818000,1520528241
1520528247929,840000,815000,811000,865000,839798.6943,44000.1461014047894321,44000.1461014047894321,237599.511443329703917407,814000,817000,1520528246
1520528253885,841000.00000000,817000.00000000,811000.00000000,865000.00000000,839808.18370000,44002.32880140,44002.32880140,238391.28412284,814000,817000,1520528253
1520528259922,841000,817000,811000,865000,839792.8276,44008.7036014047894321,44008.7036014047894321,237599.511443329703917407,815000,817000,1520528258
1520528266119,841000,817000,811000,865000,839792.8276,44008.7036014047894321,44008.7036014047894321,237599.511443329703917407,815000,817000,1520528265
1520528272060,841000,817000,811000,865000,839792.8276,44008.7036014047894321,44008.7036014047894321,237599.511443329703917407,815000,819000,1520528271
1520528278147,844000,817000,811000,865000,839792.6038,44005.6980014047894321,44005.6980014047894321,237599.511443329703917407,815000,819000,1520528277
1520528284024,841000,817000,811000,865000,839792.4363,43994.6047014047894321,43994.6047014047894321,237599.511443329703917407,815000,818000,1520528283
1520528290342,841000,815000,811000,865000,839791.2337,43992.7280014047894321,43992.7280014047894321,237599.511443329703917407,815000,818000,1520528289
1520528296694,841000,815000,811000,865000,839789.2600,43995.4280014047894321,43995.4280014047894321,237599.511443329703917407,815000,818000,1520528295
1520528302717,841000,815000,811000,865000,839789.2600,43995.4280014047894321,43995.4280014047894321,237599.511443329703917407,816000,819000,1520528301
1520528308672,841000,816000,811000,865000,839788.1683,43997.1239014047894321,43997.1239014047894321,237599.511443329703917407,815000,819000,1520528307
1520528314858,842000,818000,811000,865000,839786.1295,43984.9319014047894321,43984.9319014047894321,237599.511443329703917407,816000,818000,1520528313
1520528320806,842000,818000,811000,865000,839785.2622,43986.8959014047894321,43986.8959014047894321,237599.511443329703917407,816000,819000,1520528319
1520528326814,840000,819000,811000,865000,839783.4707,43973.1726044926754321,43973.1726044926754321,237599.511443329703917407,817000,818000,1520528325
1520528333246,840000,818000,811000,865000,839781.5424,43966.5269672005139121,43966.5269672005139121,237599.511443329703917407,817000,818000,1520528331
1520528339562,839000,818000,811000,865000,839778.0476,43977.1941672005139121,43977.1941672005139121,237599.511443329703917407,817000,818000,1520528338
1520528345494,839000,817000,811000,865000,839777.1717,43976.7318672005139121,43976.7318672005139121,237599.511443329703917407,817000,818000,1520528344
1520528351476,839000,817000,811000,865000,839773.7479,43983.4171571760640121,43983.4171571760640121,237599.511443329703917407,817000,818000,1520528350
1520528357367,840000,818000,811000,865000,839768.5388,44001.1907571760640121,44001.1907571760640121,237599.511443329703917407,817000,818000,1520528356
1520528363266,840000,818000,811000,865000,839762.3955,44019.0285970293647421,44019.0285970293647421,237599.511443329703917407,817000,818000,1520528362
1520528369166,840000,815000,811000,865000,839756.9223,44022.9670970293647421,44022.9670970293647421,237599.511443329703917407,816000,819000,1520528368
1520528375207,839000,819000,811000,865000,839754.4362,44020.9003970293647421,44020.9003970293647421,237599.511443329703917407,815000,819000,1520528374
1520528381309,837000,819000,811000,865000,839753.6405,44025.8246970293647421,44025.8246970293647421,237599.511443329703917407,817000,819000,1520528380
1520528387646,837000,817000,811000,865000,839752.7352,44025.9446970293647421,44025.9446970293647421,237599.511443329703917407,817000,819000,1520528386
1520528393823,839000,816000,811000,865000,839747.4442,44035.2150970293647421,44035.2150970293647421,237599.511443329703917407,816000,819000,1520528392
1520528399830,839000,817000,811000,865000,839746.5394,44037.9149970293647421,44037.9149970293647421,237599.511443329703917407,816000,817000,1520528398
1520528406075,837000,816000,811000,865000,839745.6838,44029.9019970293647421,44029.9019970293647421,237599.511443329703917407,816000,817000,1520528405
1520528412062,838000,819000,811000,865000,839740.1058,44034.9703970293647421,44034.9703970293647421,238331.770055803182847407,817000,819000,1520528411
1520528418441,839000,816000,811000,865000,839735.7725,44044.6540970293647421,44044.6540970293647421,238331.770055803182847407,816000,820000,1520528417
1520528424378,840000,820000,811000,865000,839732.6520,44053.8765970293647421,44053.8765970293647421,238331.770055803182847407,816000,819000,1520528423
1520528430825,837000.00000000,816000.00000000,811000.00000000,865000.00000000,839745.68380000,44029.90199703,44029.90199703,238456.08498111,816000,819000,1520528429
1520528437033,839000,820000,811000,865000,839732.7075,44050.9687970293647421,44050.9687970293647421,238331.770055803182847407,816000,819000,1520528435
1520528442924,841000,816000,811000,865000,839729.9523,44052.0033970293647421,44052.0033970293647421,238331.770055803182847407,817000,819000,1520528442
1520528448806,841000,817000,811000,865000,839728.8459,44050.6917970293647421,44050.6917970293647421,238331.770055803182847407,817000,819000,1520528448
1520528455118,841000,818000,811000,865000,839725.8296,44051.6489970293647421,44051.6489970293647421,238331.770055803182847407,816000,818000,1520528453
1520528461142,837000.00000000,816000.00000000,811000.00000000,865000.00000000,839745.68380000,44029.90199703,44029.90199703,238456.08498111,816000,819000,1520528460
1520528466513,841000,819000,811000,865000,839719.0546,44044.7431970293647421,44044.7431970293647421,238331.770055803182847407,816000,818000,1520528466
